type size snip_en words chars ig smog
2 40 0 9.97505862289 42.9682370497 -4.00511091666 56.1093839267
2 40 1 24.5667490729 112.75710754 -3.2775692543 58.7604728059
2 40 2 40.4814644608 183.754136029 -2.97120139815 58.6275398284
2 40 3 54.8700244948 247.130128598 -2.79843671771 58.9173882425
2 40 4 67.695345989 304.088028169 -2.69068332712 58.8864727495
2 40 5 78.9208511941 353.635333742 -2.61796320832 58.9537783221
2 40 6 88.9349357012 398.028628291 -2.56549768339 58.849877526
2 40 7 97.7772504593 437.309859155 -2.5291680986 58.9188778322
2 40 8 105.502908757 471.542253521 -2.50017839236 59.0058190447
2 40 9 112.173913043 501.205603184 -2.47853203624 58.9947428047
2 40 10 118.16442131 527.468769137 -2.46072093757 58.9986436007
