no_terms,topic,p1,p5,p10,p20
1,367,0.0,0.2,0.1,0.1
3,367,0.0,0.6,0.3,0.15
3,367,0.0,0.0,0.0,0.0
3,367,0.0,0.0,0.0,0.0
3,367,1.0,0.2,0.1,0.05
3,367,0.0,0.0,0.0,0.0
3,367,0.0,0.0,0.0,0.0
3,367,0.0,0.0,0.0,0.0
3,367,1.0,0.6,0.7,0.35
1,347,1.0,0.2,0.3,0.3
3,347,1.0,0.8,0.6,0.45
1,347,0.0,0.0,0.0,0.0
3,347,1.0,0.4,0.7,0.6
3,347,1.0,0.2,0.3,0.2
3,347,0.0,0.2,0.4,0.45
3,347,1.0,0.2,0.1,0.05
3,347,0.0,0.6,0.3,0.15
1,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.05
3,341,0.0,0.4,0.3,0.15
1,435,0.0,0.2,0.1,0.15
3,435,0.0,0.2,0.1,0.05
3,435,0.0,0.2,0.2,0.15
3,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
1,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
1,435,0.0,0.0,0.0,0.0
1,408,0.0,0.0,0.0,0.05
3,408,1.0,0.4,0.2,0.25
3,408,1.0,0.8,0.7,0.45
3,408,0.0,0.0,0.0,0.0
3,408,0.0,0.0,0.0,0.05
3,408,0.0,0.0,0.2,0.15
3,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
1,435,0.0,0.0,0.0,0.0
3,435,1.0,0.4,0.2,0.1
3,341,0.0,0.2,0.2,0.1
1,341,0.0,0.0,0.0,0.0
3,341,0.0,0.2,0.1,0.05
3,341,0.0,0.2,0.1,0.15
3,341,1.0,0.2,0.1,0.05
3,341,0.0,0.2,0.2,0.15
1,408,0.0,0.0,0.0,0.0
3,408,0.0,0.0,0.0,0.0
3,408,0.0,0.2,0.1,0.05
3,347,1.0,0.6,0.4,0.2
1,408,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
1,435,0.0,0.0,0.0,0.0
3,435,0.0,0.2,0.1,0.05
3,435,0.0,0.0,0.0,0.0
1,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
3,435,0.0,0.2,0.1,0.05
3,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
3,435,0.0,0.0,0.0,0.0
3,435,1.0,0.2,0.1,0.05
3,341,0.0,0.2,0.1,0.1
3,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
3,341,1.0,0.2,0.1,0.05
3,341,0.0,0.8,0.5,0.25
1,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
3,341,0.0,0.0,0.0,0.0
1,341,0.0,0.0,0.0,0.0
3,408,0.0,0.0,0.0,0.0
1,408,0.0,0.0,0.0,0.0
3,408,0.0,0.6,0.5,0.25
3,408,0.0,0.4,0.4,0.25
3,408,0.0,0.4,0.5,0.35
3,408,0.0,0.2,0.2,0.15
3,408,0.0,0.0,0.0,0.0
1,347,0.0,0.0,0.0,0.0
3,347,0.0,0.0,0.0,0.0
1,347,0.0,0.0,0.0,0.0
3,347,0.0,0.0,0.0,0.0
1,347,0.0,0.0,0.0,0.0
3,347,1.0,0.2,0.1,0.05
3,347,0.0,0.0,0.0,0.0
3,408,0.0,0.0,0.0,0.05
3,408,1.0,0.4,0.4,0.25
3,347,0.0,0.0,0.0,0.0
1,347,0.0,0.0,0.0,0.0
3,347,0.0,0.0,0.0,0.05
3,347,1.0,0.6,0.4,0.4
3,347,0.0,0.0,0.0,0.0
3,347,1.0,0.6,0.5,0.25
3,341,0.0,0.0,0.2,0.1
1,341,0.0,0.0,0.0,0.0
1,347,0.0,0.0,0.0,0.0
3,347,1.0,0.2,0.1,0.1
3,341,0.0,0.4,0.2,0.25
1,341,0.0,0.0,0.0,0.0
3,347,0.0,0.0,0.0,0.0
