snip_len,topic,p10,query_length
0,347,0.1,5
0,347,0,3
0,347,0.2,2
0,347,0,3
0,347,0.6,2
0,347,0.4,3
0,408,0.7,4
2,341,0,4
2,341,0.1,4
2,341,0.6,3
2,341,0,3
2,341,0.6,3
4,435,0.2,3
1,435,0.3,3
1,435,0.1,7
1,435,0,3
4,341,0,3
4,341,0,4
4,341,0.2,3
4,341,0,4
4,341,0,4
4,341,0,3
4,341,0.1,2
4,408,0.2,4
4,408,0,3
4,408,0,3
4,408,0.3,3
4,408,0.3,3
4,408,0.5,3
0,347,0.3,4
0,347,0.3,4
0,435,0.1,4
0,435,0.7,2
0,435,0.1,4
0,435,0.1,5
0,435,0.2,3
1,341,0.3,2
1,341,0.1,2
4,435,0.2,3
4,435,0.8,3
1,341,0.2,3
1,341,0.3,2
4,341,0.2,4
4,341,0,5
4,341,0,6
4,341,0.1,5
4,408,0.2,2
4,408,0,2
0,341,0.2,3
0,341,0.1,4
0,341,0.3,3
2,341,0,4
2,341,0,3
2,341,0.2,4
2,341,0.1,3
2,341,0.3,2
4,341,0.2,3
2,347,0.3,2
4,341,0,1
4,341,0.1,2
1,435,0.5,3
1,435,0.4,3
0,435,0.7,2
0,435,0.2,4
0,435,0.2,3
0,435,0.2,3
0,435,0.7,2
2,347,0.4,2
2,347,0.5,2
4,408,0.7,3
4,408,0.9,3
4,408,0.7,3
1,341,0.2,3
0,347,0.3,2
0,347,0.2,2
1,347,0.1,3
1,347,0,3
1,347,0.1,4
2,341,0.3,3
2,341,0.3,3
2,341,0.4,4
4,347,0.2,4
4,347,0.2,3
4,347,0.5,3
0,341,0.4,3
0,341,0,3
0,341,0,3
0,341,0,3
0,341,0.1,3
0,341,0.1,3
4,341,0.2,4
4,341,0,4
0,347,0,7
0,347,0.4,5
0,347,0.3,3
0,347,0,4
0,347,0.3,3
0,347,0.2,4
4,341,0.2,4
4,341,0,3
4,341,0.2,3
4,341,0.2,3
4,341,0.2,3
4,347,0.1,3
4,347,0.3,2
0,408,0.4,3
0,408,0.4,2
0,408,0,2
0,408,0.1,1
0,408,0.4,2
0,408,0.3,1
0,408,0.4,2
0,408,0.1,1
0,408,0.7,3
0,435,0.2,3
0,435,0,2
0,435,0.1,4
0,435,0.1,3
0,435,0.1,5
2,408,0.7,4
4,341,0.2,3
4,341,0.1,5
4,341,0.1,4
4,341,0,3
4,341,0.1,3
4,341,0.2,3
4,341,0.1,5
0,435,0,2
0,435,0,3
0,435,0.2,3
0,435,0,5
0,435,0,4
0,435,0.1,4
0,435,0.2,4
2,435,0.1,5
2,435,0.1,4
2,435,0.1,5
2,435,0.1,5
2,435,0.1,4
2,435,0.1,4
2,435,0.3,4
4,347,0,1
4,347,0.1,8
4,347,0.3,4
4,347,0.1,7
1,341,0.1,5
1,341,0,5
1,341,0.1,4
1,341,0.1,5
1,341,0.1,2
2,347,0,4
2,347,0.1,3
2,347,0.6,2
0,435,0.5,2
0,435,0.6,3
0,408,0.1,3
0,408,0.6,3
2,341,0,4
2,341,0,5
2,341,0.2,6
2,341,0.3,4
2,341,0.1,4
2,341,0,4
2,341,0,4
2,341,0,6
2,341,0,5
2,341,0,4
2,341,0,5
2,347,0,10
2,347,0.4,6
2,435,0.4,3
2,408,0.6,3
1,347,0.1,1
0,347,0.1,5
0,347,0,5
0,347,0.1,1
2,408,0.1,2
2,408,0.6,3
1,408,0.4,2
1,408,0.1,2
1,408,0,3
1,408,0,3
1,408,0.3,3
1,408,0.1,3
1,408,0,2
1,408,0.2,2
1,408,0.3,1
1,408,0.6,3
1,408,0.4,2
1,408,0.4,2
2,408,0,6
2,408,0.2,3
2,408,0.2,2
2,408,0.2,3
2,408,0.4,2
1,408,0.1,2
1,408,0.6,3
2,435,0.2,4
2,435,0.1,4
2,408,0.3,1
2,408,0.3,2
2,408,0.4,2
4,408,0.7,4
4,408,0.6,3
4,408,0.9,3
1,408,0.3,3
2,435,0,4
2,435,0.2,3
2,435,0.7,3
1,347,0.5,3
2,341,0.2,3
0,341,0.1,5
0,341,0,4
0,347,0.1,6
