interface,topic,p10,query_terms
2,347,0.1,species_native_to_other_countries
2,347,0,extinction_prevention_zimbawe
2,347,0.2,extinction_prevention
2,347,0,extinction_prevention_canada
2,347,0.6,wildlife_protection
2,347,0.4,wildlife_protection_extinction
2,408,0.7,tropical_storms_major_damage
1,341,0,carry_on_luggage_checks
1,341,0.1,security_measures_carry_on
1,341,0.6,security_measures_airport
1,341,0,airport_security_measaures
1,341,0.6,airport_security_measures
4,435,0.2,curbing_population_growth
3,435,0.3,slowing_population_growth
3,435,0.1,what_countries_are_doing_to_slow_population
3,435,0,slowing_human_population
4,341,0,carryon_luggage_screening
4,341,0,carry_on_luggage_screening
4,341,0.2,international_luggage_screening
4,341,0,international_luggage_screening_procedures
4,341,0,international_luggage_screening_procedure
4,341,0,luggage_screening_procedure
4,341,0.1,luggage_procedure
4,408,0.2,large_scale_tropical_storms
4,408,0,deveastating_tropical_storms
4,408,0,devestating_tropical_storms
4,408,0.3,devastating_tropical_storms
4,408,0.3,killer_tropical_storms
4,408,0.5,tropical_storm_disaster
2,347,0.3,preventing_extinction_of_wildlife
2,347,0.3,prevention_extinction_of_wildlife
2,435,0.1,countries_curbed_population_growth
2,435,0.7,population_growth
2,435,0.1,scaling_down_population_growth
2,435,0.1,countries_that_stopped_population_growth
2,435,0.2,population_control_methods
3,341,0.3,airport_screening
3,341,0.1,airport_security
4,435,0.2,curb_population_growth
4,435,0.8,population_growth_measure
3,341,0.2,international_airport_screening
3,341,0.3,airport_screening
4,341,0.2,international_airport_screening_government
4,341,0,government_ordered_procedure_international_airport
4,341,0,government_ordered_procedure_international_airport_screening
4,341,0.1,government_ordered_international_airport_screening
4,408,0.2,hurricane_damage
4,408,0,typhoon_damage
2,341,0.2,international_airport_security
2,341,0.1,international_airport_security_upgrade
2,341,0.3,improve_airport_security
1,341,0,government_carry_on_baggage
1,341,0,international_airport_procedures
1,341,0.2,international_airport_screening_procedures
1,341,0.1,airport_screening_procedures
1,341,0.3,airport_screening
4,341,0.2,international_airport_screening
1,347,0.3,wildlife_preservation
4,341,0,screening
4,341,0.1,airport_security
3,435,0.5,successful_population_control
3,435,0.4,successful_family_planning
2,435,0.7,population_growth
2,435,0.2,human_population_control_measures
2,435,0.2,curb_human_population
2,435,0.2,over_population_measures
2,435,0.7,population_growth
1,347,0.4,animal_conservation
1,347,0.5,endangered_species
4,408,0.7,Tropical_Storm_kills
4,408,0.9,Tropical_Storm_deaths
4,408,0.7,Tropical_Storm_destroys
3,341,0.2,international_airport_screening
2,347,0.3,wildlife_conservation
2,347,0.2,endangered_animals
3,347,0.1,foreign_wildlife_protection
3,347,0,wildlife_protection_overseas
3,347,0.1,wildlife_protection_different_countries
1,341,0.3,airport_screen_baggage
1,341,0.3,airport_security_baggage
1,341,0.4,airport_security_baggage_screen
4,347,0.2,international_wild_life_conservation
4,347,0.2,international_conservation_extinct
4,347,0.5,international_conservation_endanger
2,341,0.4,airport_security_screening
2,341,0,airport_carryon_screening
