user,interface,snippet_len,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
19,4,4,4,408,1.00,2.00,2.00,6.00,6.00,9.00,4.00,9.00,4.50,51.00,15.00,9.00,6.00,3.00,1.00,3.00,3.00,0,3.98,155.42,198.43,91.75,2.73,85.00,7.49,3.98,33.07,77.71,3.05,22.94,0.68,42.50,3.75,1.00,0.33,0.33,0.50
19,2,0,1,347,2.00,3.00,1.50,5.00,2.50,15.00,3.00,15.00,10.00,22.50,15.00,10.00,20.00,2.00,1.00,3.00,2.00,1,10.52,165.71,176.16,6.68,6.68,135.29,9.37,5.26,35.23,55.24,3.68,2.23,2.23,45.10,3.12,0.67,0.50,0.30,0.10
19,1,2,2,341,1.00,3.00,3.00,3.00,3.00,26.00,3.00,26.00,8.67,41.00,30.00,8.00,22.00,2.00,1.00,2.00,1.00,0,8.09,244.20,105.97,42.24,3.54,127.38,4.49,8.09,35.32,81.40,5.96,14.08,1.18,42.46,1.50,1.00,1.00,0.25,0.05
19,3,1,3,435,1.00,3.00,3.00,5.00,5.00,19.00,2.00,19.00,6.33,55.00,29.00,2.00,27.00,1.00,1.00,1.00,4.00,0,4.04,180.91,89.65,2.44,2.44,25.82,11.16,4.04,17.93,60.30,3.29,1.22,1.22,8.61,3.72,1.00,0.25,0.50,0.15
31,4,4,1,347,6.00,8.00,1.33,7.00,1.17,3.33,5.00,2.00,1.50,18.00,7.33,10.00,34.00,3.00,2.00,4.00,3.00,2,36.15,141.95,158.27,6.27,6.27,32.61,13.57,6.02,22.61,17.74,1.31,1.25,1.25,4.08,1.70,0.75,0.67,0.40,0.09
31,2,0,3,435,3.00,3.00,1.00,10.00,3.33,3.67,1.00,1.33,1.33,21.00,6.00,2.00,16.00,0.00,1.00,1.00,9.00,2,19.58,83.93,264.11,2.03,2.03,12.93,12.93,6.53,26.41,27.98,1.33,2.03,2.03,4.31,4.31,0.00,0.11,0.50,0.56
31,3,1,2,341,3.00,3.00,1.00,9.00,3.00,6.00,3.00,1.67,1.67,24.67,8.67,5.00,21.00,1.00,2.00,3.00,6.00,1,25.05,67.24,270.07,35.08,2.09,13.73,13.73,8.35,30.01,22.41,0.91,11.69,0.70,4.58,4.58,0.33,0.33,0.60,0.29
31,1,2,4,408,1.00,3.00,3.00,12.00,12.00,25.00,8.00,21.00,7.00,103.00,26.00,16.00,10.00,7.00,1.00,8.00,4.00,0,4.84,95.95,254.92,132.74,7.10,20.93,14.46,4.84,21.24,31.98,0.93,16.59,0.89,6.98,4.82,0.88,0.25,0.50,0.40
1,1,2,1,347,3.00,6.00,2.00,12.00,4.00,6.00,7.00,4.33,2.17,28.33,16.67,9.00,41.00,1.00,6.00,2.00,10.00,0,41.66,178.16,134.57,14.41,14.41,34.66,34.66,13.89,11.21,29.69,2.10,2.06,2.06,5.78,5.78,0.50,0.60,0.22,0.24
1,2,0,3,435,5.00,5.00,1.00,5.00,1.00,3.80,0.00,0.00,0.00,15.40,5.80,2.00,27.00,0.00,0.00,0.00,5.00,1,107.95,123.58,118.62,0.00,0.00,40.32,15.46,21.59,23.72,24.72,1.60,0.00,0.00,8.06,3.09,0.00,0.00,0.00,0.19
1,3,1,2,341,1.00,3.00,3.00,9.00,9.00,20.00,6.00,20.00,6.67,61.00,24.00,5.00,19.00,3.00,3.00,3.00,6.00,0,23.40,122.69,147.60,10.06,10.06,28.85,23.38,23.40,16.40,40.90,2.01,1.68,1.68,9.62,7.79,1.00,0.50,0.60,0.32
1,4,4,4,408,3.00,10.00,3.33,9.00,3.00,13.67,7.00,13.67,4.10,30.00,29.67,24.00,65.00,5.00,2.00,7.00,2.00,0,31.53,263.78,50.97,9.76,9.76,33.62,33.62,10.51,5.66,26.38,2.93,1.39,1.39,3.36,3.36,0.71,1.00,0.29,0.03
27,3,1,1,347,1.00,4.00,4.00,11.00,11.00,31.00,10.00,31.00,7.75,97.00,34.00,4.00,30.00,4.00,6.00,4.00,7.00,0,5.73,149.52,177.05,40.37,17.78,71.45,32.32,5.73,16.10,37.38,1.54,4.04,1.78,17.86,8.08,1.00,0.86,1.00,0.23
27,2,0,3,435,1.00,2.00,2.00,4.00,4.00,11.00,4.00,11.00,5.50,65.00,15.00,7.00,8.00,3.00,1.00,3.00,1.00,0,4.38,229.24,115.48,80.79,2.40,142.48,6.24,4.38,28.87,114.62,3.53,20.20,0.60,71.24,3.12,1.00,1.00,0.43,0.12
27,4,4,2,341,2.00,4.00,2.00,8.00,4.00,11.00,5.00,11.00,5.50,31.50,14.50,5.00,24.00,3.00,2.00,5.00,3.00,0,10.58,198.60,124.10,17.43,11.08,93.80,24.46,5.29,15.51,49.65,3.15,3.49,2.22,23.45,6.12,0.60,0.67,1.00,0.12
27,1,2,4,408,2.00,5.00,2.50,2.00,1.00,3.00,2.00,3.00,1.20,20.50,17.00,12.00,22.00,0.00,2.00,0.00,2.00,0,8.60,282.08,112.21,5.77,5.77,251.87,4.74,4.30,56.11,56.42,6.88,2.89,2.89,50.37,0.95,0.00,1.00,0.00,0.09
18,1,2,1,347,4.00,7.00,1.75,10.00,2.50,11.75,8.00,6.75,3.86,21.75,11.75,17.00,30.00,4.00,4.00,4.00,6.00,2,22.36,126.57,168.45,14.75,14.75,28.98,28.98,5.59,16.84,18.08,1.45,1.84,1.84,4.14,4.14,1.00,0.67,0.24,0.20
18,4,4,2,341,8.00,13.00,1.62,8.00,1.00,5.62,1.00,0.12,0.08,11.75,9.50,15.00,61.00,0.00,1.00,3.00,5.00,2,64.25,168.27,96.94,0.58,0.58,39.11,39.11,8.03,12.12,12.94,1.79,0.58,0.58,3.01,3.01,0.00,0.20,0.20,0.08
18,3,1,3,435,2.00,5.00,2.50,11.00,5.50,11.50,6.00,7.00,2.80,36.50,21.00,14.00,28.00,2.00,4.00,5.00,6.00,0,19.32,107.76,225.38,5.29,5.29,18.76,18.76,9.66,20.49,21.55,1.48,0.88,0.88,3.75,3.75,0.40,0.67,0.36,0.21
