is_diversified,no_terms,topic,p1,p5,p10,p20,aDCG5,aDCG10,ar5,ar10
1,3,347,1.0,0.8,0.5,0.6,0.113001,0.115626,7.2,3.9
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.1,0.1,0.000000,0.016532,0.0,0.1
1,3,341,0.0,0.6,0.3,0.15,0.097855,0.096549,0.8,0.4
1,3,341,0.0,0.2,0.2,0.1,0.023520,0.023206,0.2,0.1
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.6,0.4,0.2,0.127492,0.134056,1.0,0.5
1,3,341,1.0,0.2,0.2,0.1,0.047040,0.061882,0.2,0.2
1,3,341,0.0,0.4,0.3,0.15,0.070559,0.085088,0.6,0.4
1,3,341,0.0,0.4,0.2,0.1,0.020259,0.019988,0.2,0.1
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,1.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.8,0.5,0.25,0.141913,0.144152,1.0,0.5
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.2,0.15,0.000000,0.016532,0.0,0.1
1,1,347,1.0,0.8,0.4,0.35,0.010329,0.010191,1.2,0.6
1,3,347,1.0,0.8,0.5,0.5,0.113001,0.117003,7.2,4.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,1.0,0.8,0.7,0.55,0.047326,0.050322,3.6,2.1
1,3,347,1.0,0.4,0.3,0.2,0.041160,0.044743,2.8,1.7
1,3,347,0.0,0.6,0.3,0.3,0.030904,0.030491,2.8,1.4
1,3,347,1.0,0.2,0.1,0.05,0.003920,0.003868,0.2,0.1
1,3,347,0.0,0.6,0.3,0.15,0.016014,0.015801,1.4,0.7
1,3,347,1.0,0.6,0.3,0.25,0.031429,0.031010,1.8,0.9
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
