user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
28,0.00,2,0,367,2.00,5.00,2.50,9.00,4.50,15.50,8.00,8.50,3.40,67.00,21.00,0.00,9.00,7.00,1.00,7.00,2.00,0,17.44,165.70,86.15,8.92,8.92,40.45,30.20,8.72,9.57,33.14,1.24,1.11,1.11,8.09,6.04,1.00,0.50,0.00,0.22
28,0.00,1,1,347,4.00,6.00,1.50,17.00,4.25,12.25,7.00,7.75,5.17,37.50,16.75,12.00,55.00,3.00,4.00,7.00,10.00,1,29.60,177.14,297.85,25.62,8.27,54.83,47.71,7.40,17.52,29.52,1.18,3.66,1.18,9.14,7.95,0.43,0.40,0.58,0.18
28,0.00,3,2,341,5.00,9.00,1.80,10.00,2.00,9.80,8.00,9.00,5.00,36.40,19.80,4.00,95.00,1.00,7.00,1.00,9.00,0,46.08,256.51,163.68,4.51,4.51,54.81,40.66,9.22,16.37,28.50,1.41,0.56,0.56,6.09,4.52,1.00,0.78,0.25,0.09
28,0.00,4,3,435,3.00,13.00,4.33,12.00,4.00,23.00,8.00,20.00,4.62,82.67,42.00,33.00,93.00,7.00,1.00,8.00,4.00,0,9.31,229.87,145.04,6.14,6.14,70.00,48.50,3.10,12.09,17.68,0.93,0.77,0.77,5.38,3.73,0.88,0.25,0.24,0.04
28,0.00,2,4,408,1.00,8.00,8.00,9.00,9.00,79.00,8.00,79.00,9.88,167.00,80.00,33.00,47.00,3.00,5.00,4.00,5.00,0,9.23,117.05,62.64,5.07,5.07,33.39,33.39,9.23,6.96,14.63,0.70,0.63,0.63,4.17,4.17,0.75,1.00,0.12,0.11
48,0.00,2,0,367,1.00,2.00,2.00,6.00,6.00,20.00,7.00,20.00,10.00,68.00,20.00,0.00,0.00,5.00,2.00,4.00,2.00,0,3.57,73.56,100.14,20.03,20.03,15.32,15.32,3.57,16.69,36.78,1.08,2.86,2.86,7.66,7.66,1.25,1.00,0.00,0.00
48,0.00,3,3,435,3.00,11.00,3.67,14.00,4.67,30.67,6.00,23.67,6.45,71.33,34.00,34.00,68.00,4.00,2.00,5.00,9.00,1,17.33,215.97,173.97,6.66,6.66,28.06,28.06,5.78,12.43,19.63,1.01,1.11,1.11,2.55,2.55,0.80,0.22,0.15,0.13
48,0.00,4,2,341,6.00,17.00,2.83,8.00,1.33,16.17,6.00,16.17,5.71,41.17,23.17,14.00,125.00,2.00,4.00,2.00,6.00,2,37.90,260.53,197.80,12.23,6.37,26.79,26.79,6.32,24.73,15.33,1.05,2.04,1.06,1.58,1.58,1.00,0.67,0.14,0.05
48,0.00,2,1,347,2.00,9.00,4.50,8.00,4.00,30.00,6.00,29.00,6.44,109.00,39.00,29.00,49.00,4.00,2.00,5.00,3.00,0,11.82,236.05,103.36,11.32,6.07,23.77,9.75,5.91,12.92,26.23,1.08,1.89,1.01,2.64,1.08,0.80,0.67,0.17,0.06
48,0.00,1,4,408,3.00,6.00,2.00,7.00,2.33,12.00,5.00,12.00,6.00,32.67,16.33,11.00,38.00,1.00,4.00,1.00,6.00,1,9.13,82.38,53.29,8.21,8.21,12.87,12.87,3.04,7.61,13.73,0.84,1.64,1.64,2.15,2.15,1.00,0.67,0.09,0.16
36,0.00,2,0,367,5.00,5.00,1.00,3.00,0.60,1.40,3.00,1.20,1.20,2.20,1.60,4.00,3.00,3.00,0.00,2.00,1.00,3,52.79,61.75,233.55,104.14,1.77,48.39,7.91,10.56,77.85,12.35,5.61,34.71,0.59,9.68,1.58,1.50,0.00,0.50,0.33
36,0.00,2,1,347,2.00,3.00,1.50,10.00,5.00,14.50,4.00,14.50,9.67,37.00,15.00,3.00,27.00,1.00,3.00,1.00,9.00,1,16.92,114.33,216.72,26.61,6.15,13.60,13.60,8.46,21.67,38.11,1.55,6.65,1.54,4.53,4.53,1.00,0.33,0.33,0.33
