amtid,userid
A1FG4M4370KNFI,0
A2B6WQG0A9CKXQ,1
AA9V4NE8SOA4I,2
A2ZDK0Y5466BXN,3
A03922113RU44GENR8ATX,33
ASTDBTVY3WP1K,5
AVXEDARJC5HLU,6
AFDC9A6Z60W2Z,7
AIJUY02ENAH9U,8
A3F7FH2NDBBN1M,34
A80PZ8RASZZJI,10
A351P2O6QGTCS,11
A360G7Q6RO5XRL,12
A2R0YYUAWNT7UD,13
A2ZJS73XSSMRTD,14
A1506T1PAYRT16,15
A37WDOIQH6JM6V,16
A18I566TMVVSFQ,17
A2AO7QP5THYKQF,18
A2YJFCTJPPX66,19
A1CA46R2A6TV9W,20
A1ZRK6K5JUPJAV,21
APGX2WZ59OWDN,22
A21SF3IKIZB0VN,23
A1VW8Y7XCV3DRW,24
A10DEO061A6L3O,25
A2EOOF9D135HQ1,26
A37Y5CTJ8HCQER,27
A33M7EZ72P8TWF,39
A3UV55HC87DO9C,29
A1VIP6S8H2XXH7,30
A3QC57KUVJP5EW,31
A1BAEFJ2OG7NJ0,32
A3G5IPGLH1IIZN,4
A2B8HPIZDKYKDR,9
A2VX8B1CJXRN2,35
A7MTKYSUBNLFF,36
A16UAN46CNIRHY,37
A5YVMQWA2IYPF,38
A3EG4C9T4F5DUR,28
A2W3KKNN3CAY66,40
A222XREQ12K58P,41
A2LCFORIW0NF1S,42
A4SC8G0149GEG,43
A14PFRHG0A2YY9,44
A9WIOFVRSYW3L,45
A1K8QNLYYYX21W,46
A1DJDT4B5B19Q2,47
AD72VY8GLM8E2,48
A1J8TVICSRC70W,49
A27IABVBUZ9X8Z,50
