userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
3,0,0,1,347,400,0.1,0,0,0
3,0,0,1,347,400,0.0,0,0,0
3,0,0,1,347,400,0.2,1,1,1
3,0,0,1,347,400,0.0,1,1,1
3,0,0,1,347,400,0.6,1,1,4
3,0,0,1,347,400,0.4,0,0,0
49,0,0,4,408,446,0.7,1,1,18
36,0,2,2,341,466,0.0,0,0,0
36,0,2,2,341,466,0.1,0,0,0
36,0,2,2,341,466,0.6,1,1,7
36,0,2,2,341,466,0.0,0,0,0
36,0,2,2,341,466,0.6,0,0,0
15,0,4,3,435,103,0.2,1,1,4
6,0,1,3,435,264,0.3,1,1,1
6,0,1,3,435,264,0.1,1,1,2
6,0,1,3,435,264,0.0,1,1,2
6,0,4,2,341,346,0.0,0,0,0
6,0,4,2,341,346,0.0,1,1,3
6,0,4,2,341,346,0.2,1,1,5
6,0,4,2,341,346,0.0,0,0,0
6,0,4,2,341,346,0.0,0,0,0
6,0,4,2,341,346,0.0,0,0,0
6,0,4,2,341,346,0.1,0,0,0
25,0,4,4,408,316,0.2,0,0,0
25,0,4,4,408,316,0.0,0,0,0
25,0,4,4,408,316,0.0,0,0,0
25,0,4,4,408,316,0.3,0,0,0
25,0,4,4,408,316,0.3,1,1,2
25,0,4,4,408,316,0.5,1,1,6
24,0,0,1,347,331,0.3,1,1,8
24,0,0,1,347,331,0.3,1,1,3
10,0,0,3,435,291,0.1,1,1,2
10,0,0,3,435,291,0.7,1,1,3
10,0,0,3,435,291,0.1,1,1,1
10,0,0,3,435,291,0.1,0,0,0
10,0,0,3,435,291,0.2,1,1,5
14,0,1,2,341,150,0.3,1,1,5
14,0,1,2,341,150,0.1,1,1,2
38,0,4,3,435,178,0.2,1,1,2
38,0,4,3,435,178,0.8,1,1,6
2,0,1,2,341,250,0.2,1,1,2
2,0,1,2,341,250,0.3,1,1,2
9,0,4,2,341,160,0.2,1,1,2
9,0,4,2,341,160,0.0,1,1,1
9,0,4,2,341,160,0.0,0,0,0
9,0,4,2,341,160,0.1,1,1,3
8,0,4,4,408,691,0.2,1,1,21
8,0,4,4,408,691,0.0,1,1,4
47,0,0,2,341,658,0.2,1,1,14
47,0,0,2,341,658,0.1,1,1,2
47,0,0,2,341,658,0.3,1,1,5
20,0,2,2,341,285,0.0,1,1,1
20,0,2,2,341,285,0.0,1,1,1
20,0,2,2,341,285,0.2,1,1,4
20,0,2,2,341,285,0.1,1,1,1
20,0,2,2,341,285,0.3,1,1,2
5,0,4,2,341,163,0.2,1,1,6
47,0,2,1,347,549,0.3,1,1,20
