userid,bad_abandon_probability,good_abandon_probability,good_count,good_count_abandoned,good_count_examined,bad_count,bad_count_abandoned,bad_count_examined,total_count
0,1.0,0.0,4,0,4,1,1,0,5
1,0.0,0.25,4,1,3,1,0,1,5
2,0.0,0.25,4,1,3,1,0,1,5
3,0.5,0.5,4,2,2,2,1,1,6
4,1,0.0,2,0,2,0,0,0,2
5,1,0.0,1,0,1,0,0,0,1
6,1,0.5,2,1,1,0,0,0,2
7,0.0,0.0,2,0,2,1,0,1,3
8,1,0.0,3,0,3,0,0,0,3
9,1,0.0,1,0,1,0,0,0,1
10,1,0.2,5,1,4,0,0,0,5
11,1,0.25,4,1,3,0,0,0,4
12,1,0.777777777778,9,7,2,0,0,0,9
13,1.0,0.5,8,4,4,5,5,0,13
14,1,0.4,5,2,3,0,0,0,5
15,1.0,0.0,2,0,2,2,2,0,4
16,1,0.0,4,0,4,0,0,0,4
17,1,0.0,1,0,1,0,0,0,1
18,1.0,0.333333333333,3,1,2,1,1,0,4
19,1,0.0,2,0,2,0,0,0,2
20,1,0.25,4,1,3,0,0,0,4
21,0.5,0.0,1,0,1,2,1,1,3
22,0.5,0.0,1,0,1,2,1,1,3
23,1.0,0.0,4,0,4,2,2,0,6
24,1,0.0,2,0,2,0,0,0,2
25,0.75,0.333333333333,3,1,2,4,3,1,7
26,0.5,1,0,0,0,2,1,1,2
27,1,0.0,1,0,1,0,0,0,1
28,1,0.0,2,0,2,0,0,0,2
29,1,0.25,4,1,3,0,0,0,4
30,1.0,0.333333333333,3,1,2,3,3,0,6
31,1.0,0.0,2,0,2,1,1,0,3
32,1,0.666666666667,3,2,1,0,0,0,3
33,1,0.0,1,0,1,0,0,0,1
34,0.5,0.0,4,0,4,2,1,1,6
35,0.0,0.5,2,1,1,1,0,1,3
36,1,0.333333333333,3,1,2,0,0,0,3
37,1,0.5,2,1,1,0,0,0,2
38,1.0,0.0,1,0,1,1,1,0,2
39,0.0,0.0,1,0,1,1,0,1,2
40,1.0,0.75,4,3,1,7,7,0,11
41,1,0.0,5,0,5,0,0,0,5
42,0.0,0.0,1,0,1,1,0,1,2
43,1,0.333333333333,3,1,2,0,0,0,3
44,1,0.25,4,1,3,0,0,0,4
45,1,0.0,2,0,2,0,0,0,2
46,1,0.0,1,0,1,0,0,0,1
47,1,0.0,3,0,3,0,0,0,3
48,1,0.0,2,0,2,0,0,0,2
49,1,0.0,1,0,1,0,0,0,1
50,0.8,0.333333333333,3,1,2,5,4,1,8
51,1.0,0.0,3,0,3,1,1,0,4
52,1,0.0,2,0,2,0,0,0,2
