queryid,userid,topic,query_terms
22,11,347,prevent extinction of wild life in different countries
23,11,347,extinction of wild life in different countries
24,11,347,extinction of wild life native to different countries
25,11,347,prevention of extinction of wild life native to countries discuss
26,11,347,prevention of extinction of wild life native to countries
27,11,347,prevention of extinction of wild life
28,26,408,hurricane
29,26,408,hurricane george
30,26,408,hurricane damage
31,26,408,typhoon damage
32,26,408,typhoon damage death
33,26,408,hurricane damage death
34,26,408,tropical tropical damage death
91,20,408,tropical storm death
92,20,408,typhoon damage
97,3,341,screening procedures in international airports
98,3,341,screening passengers ang luggages in international airports
99,3,341,screening procedures in international airports
100,3,341,improving screening procedures in international airports
101,3,341,improving security in international airports
102,3,341,improving screening in international airports
114,22,408,most devastating tropical storms
115,22,408,most devastating typhoons
116,22,408,worst typhoons
117,22,408,worst typhoon damage
118,22,408,worst hurricane damage
121,38,408,tropical storms caused damage
122,9,435,curbing population growth
123,9,435,stopping population growth
124,9,435,ending population growth
125,9,435,how to stop population growth
126,9,435,countries curbing population growth
178,40,408,hurrican irma
179,40,408,hurricane irma
180,40,408,hurricane irma
181,40,408,hurricane irma
182,40,408,hurricane harvey
183,40,408,hurricane katrina
184,40,408,hurricane katrina new orleans
185,40,408,katrina new orleans
186,40,408,typhoon singapore
187,40,408,typhoon vietnam
188,40,408,hurricane matthew
189,40,408,hurricane sandy
190,40,408,most costliest hurricanes
208,21,341,international airports passenger screening
209,21,341,international airports security
210,21,341,international airports passenger screening
211,25,341,international airport screening procedures
212,25,341,international airport screening procedures carry on luggage
213,25,341,airport screening carry on luggage
214,25,341,airport security
215,25,341,screen carry on luggage
216,25,341,tech luggage screening
217,25,341,tech airport security
218,25,341,airport security
219,25,341,airport screening passengars
220,25,341,airport screening passengers
221,24,341,procedures to screen passengers and carry on luggage
222,24,341,what are the procedures to screen passengers and carry on luggage
223,24,341,airport procedures to screen passengers and carry on luggage
224,24,341,airport passengers screening
245,19,341,carry on luggage
246,19,341,carry on luggage screening
247,19,341,carry on luggage
248,19,341,carry on luggage limits
249,19,341,carry on luggage rules
250,19,341,carry on luggage easy
281,42,347,wildlife preservation
294,18,341,airport security
351,14,435,population control measures
352,14,435,population control
385,39,408,tropical storms
387,5,341,improvement international airport screening
388,5,341,improvement foreign international airport screening
389,5,341,improvement international airport screening
390,5,341,international airport screening
391,5,341,security screening improvements international
392,5,341,security screening airport europe
393,5,341,security screening airport china
394,5,341,security screening airport india
395,5,341,airport security france
396,5,341,airport security italy
397,5,341,airport security turkey
398,5,341,airport security asia
399,5,341,government orders for airport security international
400,5,341,government procedures for screening international flights
401,5,341,procedures for screening international flights
402,5,341,screening international flights
403,5,341,government screening international flights
404,5,341,improved baggage screening international
405,5,341,baggage screening london airport
406,5,341,baggage screening france air
407,5,341,baggage screening canada air
408,5,341,baggage screening middle east
409,5,341,baggage screening africa
410,5,341,baggage screening international travel
411,32,341,international airport security improve
412,32,341,international airport security baggage improve
413,32,341,international airport baggage security
414,32,341,international airport baggage security guidelines
415,32,341,international airport baggage security
416,32,341,international airport security
426,28,435,population growth measures
427,28,435,population growth measures results
428,28,435,population control
486,46,347,efforts in europe to save animals from extinction
487,46,347,efforts across the world to save animals from extinction
488,46,347,efforts in china to save animals from extinction
489,46,347,efforts in ireand to save animals from extinction
490,46,347,efforts in ireland to save animals from extinction
491,46,347,efforts in russia to save animals from extinction
492,46,347,saving animals from extinction
527,12,341,airport carry on screening
528,12,341,airport carry on security
588,50,408,significant hurricanes
589,50,408,significant hurricanes damage
590,50,408,significant hurricanes loss of life
591,36,341,international airports screen passenger luggage
592,36,341,international airports screen passengers
593,45,347,prevention of wildlife species
596,27,347,extinction wild life native to india
597,27,347,extinction wildlife native to china
598,27,347,extinction wildlife native to brazil
599,27,347,extinction wildlife native to jaoan
600,27,347,extinction wildlife native to japan
601,27,347,extinction wildlife native in egypt
602,27,347,extinction wildlife native in euphoria
603,27,347,extinction wildlife native in canada
604,27,347,extinction wildlife native in london
605,27,347,extinction wildlife native jordan
606,27,347,extinction wildlife native puru
607,27,347,extinction wildlife native peru
608,31,341,airport security screening
612,34,341,international airport security
613,34,341,international airport security effective
614,34,341,international airport security improve
615,34,341,international airport security changes
616,34,341,international airport security safety
647,43,341,international flights carry on security
648,43,341,international flights carry on luggage policy
649,43,341,international flights policy
650,43,341,international flights bag policy
651,43,341,international flights carry on
652,43,341,international flights baggage rules
653,43,341,international flights screening luggage
654,43,341,international flights luggage policy
655,43,341,international flights
656,43,341,international flights security
657,43,341,international flights baggage security
658,48,341,luggage screening airport
659,48,341,luggage screening international airport
660,48,341,international luggage screening
661,48,341,airport luggage check
662,48,341,carry on luggage
663,48,341,airport luggage security
694,44,347,exstion of wildlife
695,44,347,prevention extinction of wildlife in africa
696,44,347,prevention extinction of wildlife
697,44,347,prevention extinction of wildlife items
698,44,347,prevention extinction of wildlife in africa
699,44,347,prevention extinction of wildlife africa
700,44,347,prevention extinction of wildlife global
701,44,347,extinction of wildlife
705,35,435,population reduction
706,35,435,population reduction in other countries
707,35,435,population reduction program in other countries
708,35,435,population reduction program
709,35,435,population reduction
710,35,435,population reduction success
711,35,435,human population reduction success
712,35,435,human population birth reduction program
713,35,435,birth reduction program
714,35,435,russia birth reduction program
715,35,435,china birth reduction program
716,35,435,china limit number of children
717,35,435,population limit in countries
718,35,435,birth rate decline program
719,49,408,major tropical storms
720,49,408,worst tropical storms
725,37,347,protecting native wildlife species
726,37,347,protecting native wildlife species europe
727,37,347,protecting native wildlife species asia
728,37,347,protecting native wildlife
729,37,347,extinct wildlife protection
730,2,341,international luggage screening
731,33,341,increase security screening international flights
732,33,341,increased security screening international flights
733,33,341,increased baggage screening international flights
734,33,341,security baggage screening international flights
735,33,341,security baggage increase international flights
736,33,341,security baggage increase international airports
756,15,341,procedures taken by international airports  to better screen passengers and their carry-on luggage
757,15,341,how to better screen passengers and their carry-on luggage
758,15,341,better screening passengers and their carry-on luggage
759,15,341,better screening passengers and carry on luggage
760,15,341,better screening of passengers procedures
761,15,341,procedures on screening airline passengers
762,15,341,england procedures on screening airline passengers
763,15,341,south america procedures on screening airline passengers
764,15,341,procedures for screening airline passengers
765,15,341,international airport procedures for screening airline passengers
766,15,341,international airport procedures screening airline passengers
767,15,341,international airport procedures screening at airports
768,15,341,airports and how to better screen passengers
769,15,341,how to better screen airline passengers
770,15,341,how to better search airline passengers
771,15,341,how to better search airline passengers in international airports
772,15,341,international airport screenings
773,15,341,international airport baggage screening
774,15,341,better scrutinize passengers and luggage on international flights and to step up screening of all carry-on baggage has been
775,15,341,how to better scrutinize passengers on international flights
776,15,341,scrutinize passengers on international flights
777,15,341,scrutinize baggage on international flights
779,41,347,new zealand wildlife protection
780,41,347,new zealand endangered species
781,41,347,endangered species protection in china
782,41,347,endangered species protection in england
783,41,347,endangered species protection canada
784,41,347,endangered species protection
785,41,347,endangered species tanzania
786,41,347,endangered species recovery
787,41,347,endangered species france
